,reviews,Sentiments
0,"original as shown in advertisement.
good quality.
reliable.
thanks to seller",1
1,"Same as shown in picture. Received same color, what I order. Good quality.
Packaging should be improved. Atleast cushion should be in box. ",1
2,"comfortable, and very soft item, love it and my baby girl is so happy. highly recommend this product.",1
3,it was packed well... same as shown ..i ordered pink and thank GOD i received in pink color....  very soft and good quality .. thanks..👍,1
4,for healthy Bady sitting space is less to sit... size is small for healthy baby... other wise stuff & product is very good & soft...,1
5,No doubt same as in the pic but just for 3-4 month's baby. well! I recommend this seller 🙂,1
6,comfortable but size is very small,0
7,So haPpy to receive the parcel. Exactly same as shown💗,1
8,Good product same as shown in pic 😊 recommended ,1
9,Quality was soo good just like shown in picture.,1
10,It so nice & I liked  it very much 😊,1
11,"awsome love it .....
",1
12,same as shown 👌,0
13,The bay sofa is so comfortable n supporting. My baby love to sit n play. Very good stuff n thickly stuffed. Highly recommended ,1
14,This is fantastic 👍. I love to the stuff and size. my baby is very comfortable with it. it is very good support to new food started babies. you must have to try this. Also I got the real thing what I've ordered.  thanks Daraz ❤️,1
15,The sofa seat is very very small for my baby that he can't sit onit comfortably..  the shown size in picture is very large but received one is very very small ..kindly return it and refund me...,0
16,this is very small as compared to picture. material is good and colour is nice but it can only b used uptil 6  or 7 months. you should guide people truly specifically online.,1
17,Just as in the picture. Good design and quality. Suitable for children form two to four months.. Recommended.,1
18,"As far quality is concerned, it is good not so bad but it is very very small... Not for normal babies.. May be for extremely small babies... But it is beautiful ",1
19,very GOod Quality and also same as in Photo and good Colour 😊 also fast service I'm satisfiEd ...,1
20,product quality is good and same brand to show picture but it's soooo small size.. .. ,0
21,"smaller in size and weight .....
baby ulat jaya hai monh k bull kindly mat lain ",1
22,small size as compared to others sold in the shops. and also it looks used/old,0
23,same as shown in the picture.I like it and it is best for my girl.thank. u,1
24,"Good product with fast delivery 👍, suitable for at least 5 month old baby",1
25,Awesome product same as shown in picture... But very samll in size.... ,1
26,you must have to increase the width of this sofa so baby sit easily,1
27,it was very very small for my 5 month baby ..so order accordingly,0
28,"very good thx daraz 
buht achi seat nikli hai same shown in pic",1
29,Beautiful same as shown in pic. Good quality fully satisfied ,1
30,amazing product this seat is so comfortable really good ,1
31,i m not satisfied coz the seat is tore in back side,0
32,Very good quality.... fully satisfied with seller,1
33,Very good quality.... fully satisfied with seller,1
34,"nice thing to use.it support baby's back bone.
",1
