Review,Sentiment
mil gya hai acha hai aur toota howa b nai hai ,Positive
aram sy pocket me a jta hai aur quality b achi hai,Positive
sb sy achi chez apki customer service bhot achi hai aur products b orignal hai ,Positive
back cover acha hai  sai cuts hai aur soft b hai  kafi acha hai lakin protector chota hai size me khas tor b width me lakin touch sai kam kr rha hai issi hi tarha sensor b sb kuch thek hai aur combination b acha hai,Positive
shru me me thumb grip k khalif thi kyu k extra chezy add kr dety thy lakin jb sy mery stock controller ki rubber wire kharab hona churu hoei me ny inn grips ko khared aur me bhot kush ho in pair ko istemail kr k in ko istemal krna bhot asan hai aur mujhy lagta h inn ko istemal kr k me acha game khelny wala baan gya hoo   inn ki quality inn ko acha banaati hai aur aasan h istemal me,Negative
me ny ya lya kyu k ya madad krty h acha krny me jb game khelo race wali  me ny new nfs ki game liii hai to mery dost ny bola k tm ya khareed lo is sy achi tarha game khel lo gy to phr me ny ya  in ka 4 ka pack ly lya ya sirf teezi k lya kam naai aty balky is sy dono players ka fyda b hota hai,Positive
""" mein neh shuru mein yeh haasil karne ki zahmat nahi ki thi, lekin ab jab ke mere ps4 kntrolrz aik bohat barri satah par farsodah ho rahay hain, mujhe ????? kam se kam ke liye hungami mansoobah talaash karne ki zaroorat hai aur yeh angothay ki girift aik game   set hain   mere liye match  ",Positive
is ka pura paackge jis me naya chipset hai aur is ki keemat b bhot kam hai baki phone me sy jsy k samsung 9  etc,Negative
bohat mehanga kya hai mein is price brikt mein simsng s8 ya s9 kyun nahi khareedon ga  daraaz nay? phone ki qeemat bohat onche kar di hai aur is se yeh darmiyanay faaslay wala phone nahi bantaa hai  is qeemat mein simsng tamam behtar khususiyaat ke sath behtar hai  bekar farokht,Negative
yeh duniya mein har jagah   499 hai       koi kharidari karne se pehlay is haqeeqat ko jaan len     ,Positive
is  me is ki cable nai h aur is k speaker b sai kam nai krty ,Negative
"theek hai mein un head ????, tamirati miyaar, sooti miyaar, battery ke waqt se mutmaen hon, qeemat ke liye sab kuch achh is? hai, yeh bohat umdah nazar atay hain aur kaam bhi karwa letay hain is liye mujhe koi baat nahi hai  is ke sath mamlaat",Positive
"un head phone ke baarey mein mera tajurbah bohat achaa raha hai, mujhe yeh itna pasand aaya hai ke mein naay un mein se 2 ko order diya hai, yeh guzashta 2 mah se istemaal kar raha hon aur un ke miyaar ke sath kisi maslay ka saamna nahi karna para  aawaz aur taamer ka miyaar kaafi achaa hai aur battery taqreeban 2 2 ghantay jari rehti hai  ",Positive
"jaizay dekhnay ke baad khareeda gaya     lekin mujhe imandaar bitayen     badter head phone     aawaz ka miyaar bohat kam hai    taamer bhi aam hai    usay nahi khareedain, kuch paisay shaamil karen aur kuch acha khareedain",Positive
"is mein koi ox kibl shaamil nahi hai    
mein ny aik aaks kibl khridi hai aur usay  apne laip taap se marboot kar di hai  mein sirf head phone ke baen taraf se audio sun sakta hon   durust numera",Positive
ya chez wkt p a gai thi aur kam b sai kr rhi hai,Neutral
in k headphone ziyda bury nai hai lakin me kaho ka k inn ko na khareedo,Negative
me koi acha phone nai jaaanta market me ya pura packge hai style ka money ka,Positive
me ny order kya tha mi a1 in golden aur unho ny rose gole bejha hai mujhy,Neutral
portrait mode bhot acha is phone k camera me baki sb b acha hai sb sy ziyda google update achi hai,Positive
bhoot hi acha phone hai ya speed b achi hi aur language ka masla b nai h,Positive
achi timing hai  sirf 2 dino me agya hai,Neutral
sirf thori se price ziyda hai agr international market k mukabaly dekha jya too,Positive
audio achi hai base k sath ,Positive
shukriya achi quality k lya  mujhy pasnd hai iss ki audio,Positive
shukriya achi quality k lya aur iss ki audio b achi hai,Positive
is ki quality achi hai aur baki sb b acha hai,Positive
sb sy acha product achi price me  is k earphone b achy hai zaroor ly ap b shukriya daraz,Positive
base achi hai baki sari chzey b achi hai 10 10 is k lya price b kam hai,Positive
audio ki quality aachi hai  aur baki sb chezy b balance hai,Positive
achi mobile hai lakin is ki koi warenty nai hai,Positive
 me ny iphone lya us p straches hai aur box b sai sy band nai hai,Negative
is k batter y k issues hai aur customer service center sy b koi acha response nai a rha ,Positive
"vaqata aik behtareen phone  karkardagi aur istehkaam ke hawalay se yeh is qeemat mein be misaal hai  taham, yeh phone thora sa bhaari aur bara hai  mazeed yeh ke phone ke sath faraham kardah ????? ka shafaaf cover bhi thora sa dheel hai ",Positive
battery timing aur mobile bhot acha kam kr rha hai hai,Positive
sb sy acha phone hai agr ap sy ko huwai k sath compare kry too,Neutral
mein naay phone bazyaft kya aur mein naay dekha ke is khanaay mein dosra haath huawei y 5 tha aur daraaz bhi is ki jagah nahi le rahay hain woh keh rahay hain ke yeh un ka phone nahi hai  ,Negative
sb sy acha product hai sirf 2 din me mil gya hai price b kafi kam hai,Neutral
plz mujhy bta dy k ya single ya dual sim wala hai ,Neutral
sb sy achi deal hai me bhot kush ho istemail kr k,Positive
  yeh vaqata aik acha tajurbah tha  mein jaldi tarseel aur zabardast ????? ke liye daraaz ki tareef karta hon  sale 1 saal warranty card ke sath mukammal tor par original hai  tajdeed shuda nahi shukriya daraaz aur dealer,Positive
bhot acho deal h 3 din me hi phone mil gya hai,Neutral
